Name	Link	Family	Max Thickness (%)	x-Locationof Max Thickness (%)	Camber (%)	Data Sources	Cl max	Cl/Cd max	Cd @ Cl=0.1	Cd @ Cl=0.4	Cd @ Cl=0.6
ARA-D 20%	ARA-D 20%	Uncategorized	20	26.6	3.8	JF XF	2.24	47	0.032	0.032	0.032
ARA-D 6%	ARA-D 6%	Uncategorized	6	19.9	5	JF XF	1.56	91	0.014	0.014	0.014
AS5045 (15%)	AS5045 (15%)	Selig et. al.	15	37.7	1	JF WT XF	1.45	97	0.007	0.008	0.008
AS5046 (16%)	AS5046 (16%)	Selig et. al.	16	37.7	1	JF XF	1.56	99	0.007	0.008	0.009
AS5048 (18%)	AS5048 (18%)	Selig et. al.	18	39.7	1	JF WT XF	1.7	104	0.007	0.009	0.01
ATR72SM	ATR72SM	Uncategorized	14.5	24.7	2.9	JF XF	1.74	148	0.007	0.006	0.007
AUGUST 160	AUGUST 160	Uncategorized	16	24.7	5.4	JF XF	1.91	237	0.008	0.007	0.007
AV-1.7-8	AV-1.7-8	Uncategorized	7.9	24.7	1.7	JF XF	1.05	104	0.006	0.006	0.006
AVISTAR	AVISTAR	Uncategorized	14.5	33.8	2.3	JF WT XF	1.43	78	0.011	0.009	0.01
AVX-NITRO	avx-nitro	Uncategorized	7.4	23.1	2.6	JF XF	1.26	123	0.007	0.007	0.007
AVX-PLANEUR	avx-planeur	Uncategorized	7.9	26.5	2.7	JF XF	1.21	113	0.007	0.007	0.007
AZ2002MID	AZ2002mid	Zutter	9	24.8	1.6	JF XF	1.04	53	0.016	0.016	0.016
AZ2002ROOT	AZ2002root	Zutter	9	24.8	1.6	JF XF	1.01	51	0.016	0.016	0.015
AZ2002TIP	AZ2002tip	Zutter	9	23.1	1.6	JF XF	1.15	38	0.025	0.025	0.025
AZ2003MID	AZ2003mid	Zutter	8.5	24.7	1.5	JF XF	1.01	92	0.008	0.006	0.007
AZ2003ROOT	AZ2003root	Zutter	8.5	24.7	1.7	JF XF	1.01	108	0.007	0.005	0.006
AZ2003TIP	AZ2003tip	Zutter	8	21.4	1.3	JF XF	1	93	0.008	0.007	0.007
AZ2004_9	AZ2004_9	Zutter	9	24.7	1.4	JF XF	0.99	115	0.006	0.005	0.006
AZ2005MID	AZ2005mid	Zutter	8.5	24.7	1.4	JF XF	0.96	113	0.006	0.005	0.075
AZ2005ROOT	AZ2005root	Zutter	8	24.7	1.7	JF XF	0.92	112	0.006	0.005	0.06
AZ2005TIP	AZ2005tip	Zutter	8.8	24.7	1.3	JF XF	0.97	113	0.006	0.005	0.006
AZ2007_8_1.2_TIP	AZ2007_8_1.2_tip	Zutter	8	26.5	1.2	JF XF	0.99	97	0.006	0.007	0.007
AZ2007_8_1.3_MID	AZ2007_8_1.3_mid	Zutter	8	26.5	1.3	JF XF	1	98	0.007	0.006	0.007
AZ2007_8_1.4_ROOT	AZ2007_8_1.4_root	Zutter	8	26.5	1.4	JF XF	1	100	0.006	0.006	0.006
AZCOMBAT1	AZcombat1	Zutter	10	26.5	1.8	JF XF	1.06	181	0.003	0.002	0.005
B-29 ROOT	B-29 ROOT	Boeing	22	31.9	1.8	JF XF	1.93	132	0.007	0.006	0.007
B-29 TIP	B-29 TIP	Boeing	9	31.9	2.2	JF XF	1.11	139	0.004	0.004	0.004
BAMBINO 6	Bambino 6	Uncategorized	12	37.7	3	JF XF	1.1	99	0.006	0.007	0.008
BC30	BC30	Uncategorized	6.3	21.5	2.7	JF XF	1.19	72	0.011	0.011	0.011
BC50	BC50	Uncategorized	7.2	23.1	2.6	JF XF	1.22	80	0.011	0.01	0.011
BC70	BC70	Uncategorized	7.9	24.7	2.5	JF XF	1.15	88	0.01	0.009	0.01
BE50 (ORIGINAL)	BE50 (original)	Uncategorized	7.3	23.1	3.5	JF WT XF	1.44	117	0.007	0.008	0.008
BE50 (SMOOTHED)	BE50 (smoothed)	Uncategorized	7.3	21.5	4	JF XF	1.36	122	0.008	0.009	0.008
BE5030FVNC2	BE5030FVNC2	Egglestone	5	18.4	2.9	JF XF	0.82	69	0.011	0.01	0.016
BE5045FVNC2	BE5045FVNC2	Egglestone	5	18.4	4.4	JF XF	1	78	0.01	0.01	0.011
BE5655FVNC2	BE5655FVNC2	Egglestone	5.6	18.4	5.4	JF XF	1.26	85	0.035	0.012	0.012
BE6568 6.5% T/C 7.5% CAMBER SUITABLE FOR F1A TOWLINE GLIDER CATEGORY	BE6568 6.5% t/c 7.5% camber Suitable for F1A towline glider category	Egglestone	6.5	17	6.5	JF XF	1.77	92	0.046	0.014	0.014
BE6699 (6.6% MAX T/C 9.9% MAX CAMBER) CLMAX 2.1 AT RE 100000 TRANSITION FREE	BE6699 (6.6% max t/c 9.9% max camber) CLmax 2.1 at RE 100000 transition free	Egglestone	6.6	17	9.6	JF XF	2.2	94	0.072	0.054	0.047
BELL 540 (MODIFIED NACA 0012)	BELL 540 (MODIFIED NACA 0012)	Uncategorized	9.7	23.1	0	JF XF	1.1	72	0.01	0.008	0.011
BERGEY BW-3 (SMOOTHED)	Bergey BW-3 (smoothed)	Uncategorized	5	7.8	5.6	JF WT XF	1.52	90	0.034	0.013	0.013
BOEING 103	BOEING 103	Boeing	12.7	31.9	3.6	JF XF	1.86	119	0.007	0.007	0.007
BOEING 106	BOEING 106	Boeing	13.1	31.9	3.3	JF XF	1.71	157	0.006	0.005	0.005
BOEING 707 .08 SPAN	BOEING 707 .08 SPAN	Boeing	11.4	24.7	0.2	JF XF	1.07	87	0.007	0.008	0.008
BOEING 707 .19 SPAN	BOEING 707 .19 SPAN	Boeing	12.2	31.9	0.7	JF XF	1.4	107	0.007	0.006	0.007
BOEING 707 .40 SPAN	BOEING 707 .40 SPAN	Boeing	9.7	33.8	1.9	JF XF	1.15	115	0.019	0.028	0.012
BOEING 707 .54 SPAN	BOEING 707 .54 SPAN	Boeing	9	41.7	1.7	JF XF	1.08	113	0.005	0.006	0.007
BOEING 707 .99 SPAN	BOEING 707 .99 SPAN	Boeing	9	41.7	1.8	JF XF	1.01	101	0.006	0.008	0.008
BOEING 737 MIDSPAN	BOEING 737 MIDSPAN	Boeing	10	37.7	1.4	JF XF	1.07	98	0.008	0.008	0.007
BOEING 737 MIDSPAN	BOEING 737 MIDSPAN	Boeing	12.6	28.2	0.7	JF XF	1.54	114	0.007	0.007	0.008
BOEING 737 OUTBOARD	BOEING 737 OUTBOARD	Boeing	10.8	39.7	1.6	JF XF	1.19	91	0.008	0.007	0.008
BOEING 737 ROOT	BOEING 737 ROOT	Boeing	15.4	19.9	0.2	JF XF	1.58	101	0.008	0.008	0.008
BOEING BACXXX	BOEING BACXXX	Boeing	11.3	35.8	1.4	JF XF	1.25	101	0.008	0.007	0.008
BOEING J	BOEING J	Boeing	10.1	39.7	1.7	JF XF	1.18	85	0.007	0.008	0.01
BOEING VERTOL V(1.95)3009-1.25	BOEING VERTOL V(1.95)3009-1.25	Boeing	9	30.1	1.3	JF XF	1.34	119	0.006	0.007	0.007
BOEING VERTOL V13006-.7	BOEING VERTOL V13006-.7	Boeing	6	30.1	0.9	JF XF	0.9	92	0.006	0.007	0.007
BOEING VERTOL V43012-1.58	BOEING VERTOL V43012-1.58	Boeing	12	30.1	3.7	JF XF	1.69	146	0.006	0.007	0.007
BOEING VERTOL V43015-2.48	BOEING VERTOL V43015-2.48	Boeing	15	30.1	3.7	JF XF	1.82	152	0.007	0.007	0.006
BOEING-VERTOL V23010-1.58	BOEING-VERTOL V23010-1.58	Boeing	10.2	28.2	1.8	JF XF	1.4	144	0.005	0.005	0.005
BOEING-VERTOL VR-1	BOEING-VERTOL VR-1	Boeing	11	35.8	1.5	JF XF	1.3	207	0.003	0.005	0.006
BOEING-VERTOL VR-11X	BOEING-VERTOL VR-11X	Boeing	11	37.7	2.4	JF XF	1.45	86	0.009	0.008	0.008
BOEING-VERTOL VR-12	BOEING-VERTOL VR-12	Boeing	10.6	33.8	2.3	JF XF	1.36	95	0.011	0.009	0.009
BOEING-VERTOL VR-13	BOEING-VERTOL VR-13	Boeing	9.4	33.8	2	JF XF	1.26	100	0.01	0.008	0.008
BOEING-VERTOL VR-14	BOEING-VERTOL VR-14	Boeing	8	33.8	1.7	JF XF	1.1	93	0.01	0.008	0.008
BOEING-VERTOL VR-15	BOEING-VERTOL VR-15	Boeing	8	35.8	1.3	JF XF	1.07	93	0.008	0.008	0.009
BOEING-VERTOL VR-5	BOEING-VERTOL VR-5	Boeing	12	35.8	3.4	JF XF	1.42	111	0.007	0.005	0.006
BOEING-VERTOL VR-7	BOEING-VERTOL VR-7	Boeing	12	33.8	3.1	JF XF	1.5	172	0.006	0.005	0.005
BOEING-VERTOL VR-7 WITH TAB	BOEING-VERTOL VR-7 WITH TAB	Boeing	12	33.8	3.1	JF XF	1.45	70	0.011	0.01	0.011
BOEING-VERTOL VR-8	BOEING-VERTOL VR-8	Boeing	8.1	33.8	1.3	JF XF	0.8	17	0.025	0.03	0.12
BOEING-VERTOL VR-8 WITH TAB	BOEING-VERTOL VR-8 WITH TAB	Boeing	8.2	34.2	1.3	JF XF	0.79	15	0.032	0.036	0.127
BOEING-VERTOL VR-9	BOEING-VERTOL VR-9	Boeing	6.1	33.8	0.3	JF XF	0.56	14	0.026	0.082	0.082
BORGE-B3	Borge-b3	Uncategorized	11.7	30.1	1.8	JF XF	1.31	132	0.005	0.005	0.006
CAL1215J	CAL1215j	Uncategorized	11.7	30.1	2.2	JF XF	1.29	152	0.007	0.006	0.006
CAL2263M	CAL2263m	Uncategorized	11.7	31.9	3.6	JF XF	1.57	204	0.006	0.006	0.006
CAL4014L	CAL4014l	Uncategorized	10	26.5	2	JF XF	1.51	356	0.002	0.002	0.002
CAP 21	CAP 21	Uncategorized	15.6	15.6	0.6	JF XF	6.53	664	0.075	0.075	0.068
CAST 10-2/DOA 2	CAST 10-2/DOA 2	Uncategorized	12.2	43.8	1.5	JF XF	1.36	80	0.009	0.009	0.011
CB2012	CB2012	Baron	12	30.1	2	JF XF	1.34	110	0.007	0.007	0.008
CB2195	CB2195	Baron	9.5	33.8	2.1	JF XF	1.35	149	0.002	0.003	0.004
CB2195-25D	CB2195-25d	Baron	9.5	24.7	2	JF XF	1.26	108	0.007	0.006	0.007
CB2513	CB2513	Baron	13	30.1	2.5	JF XF	1.47	128	0.007	0.007	0.008
CB2514	CB2514	Baron	14	30.1	2.5	JF XF	1.54	141	0.007	0.007	0.008
CB2515	CB2515	Baron	15	30.1	2.5	JF XF	1.62	161	0.007	0.007	0.008
CB3013	CB3013	Baron	13	30.1	3	JF XF	1.52	129	0.007	0.007	0.008
CB3512	CB3512	Baron	12	30.1	3.5	JF XF	1.51	131	0.007	0.007	0.007
CH10 (SMOOTHED)	CH10 (smoothed)	Uncategorized	12.8	31.9	10.2	JF XF	2.35	222	0.062	0.04	0.014
CHEN	CHEN	Uncategorized	12.5	26.5	7.8	JF XF	1.82	159	0.028	0.008	0.008
CJ3209	CJ3209	Uncategorized	9.4	26.5	2	JF XF	1	126	0.006	0.004	0.005
